,age,bmi,children,charges,sex_female,sex_male,smoker_no,smoker_yes,region_northeast,region_northwest,region_southeast,region_southwest
0,-1.427091110122168,-0.45625628569252724,0,0.3079311971271162,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,-0.7880327495894119,0.3681524251316773,3,-0.7305992811377339,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
3,-0.43300032707121405,-1.2960216293654176,0,0.7338128073010846,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
4,-0.5040068115748536,-0.2978404942008173,0,-0.7792548854606256,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
6,0.49008397147610033,0.4392778825361181,1,-0.4139884821508469,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7,-0.1489743890566558,-0.4821200883850513,3,-0.494085061209684,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,-1.0010522031003306,-0.7278262139640298,0,-0.8749226128277985,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11,1.6261877235343334,-0.7165108002860504,0,1.2202173977405795,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
12,-1.1430651721076097,0.5944606986912625,0,-0.9496236940929167,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
13,1.200148816512496,1.4705970149005152,0,-0.17596395176652033,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,-1.427091110122168,-0.9896972162258354,1,-0.9487556535013341,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
16,0.9161228784979377,0.009292162772906197,1,-0.20046531193810926,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
17,-1.1430651721076097,-1.1117420351811838,0,-0.9021605181495486,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
20,1.4841747545270543,0.8539069694506451,0,0.0025989587824819136,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
